key,hhid,village,county_code,consent,enum_code,duration,comments,p_size_unit,p_sizea,p_sizeh,p_sizem,p_sizep1,p_sizep2,p_size_acres,exp_3,exp_4,exp_b1,exp_b2,exp_b3,exp_b4,exp_b5,ffertl,fertypel1,fertypeol1,fertypel2,fertypeol2,fertypel3,fertypeol3,fertamtl1,fertunitl1b,fertamtl2,fertunitl2b,fertamtl3,fertunitl3,exp_5,exp_6,exp_c1,exp_c2,exp_c3,exp_c4,exp_c5,exp_probe,exp_7,exp_8,exp_d1,exp_d2,exp_d3,exp_d4,exp_d5,conf1,conf2,conf3,conf4,conf5,conf6,conf7,conf8,conf9,conf10,conf11,placement1,placement2,placement3,placement4,placement5,purchase_nr,purchase1_distance,trust1,trust2,purchase2_distance,trust3,trust4,purchase3_distance,trust5,trust6,purchase_nr2,purchase4_distance,trust7,trust8,purchase5_distance,trust9,trust10,purchase6_distance,trust11,trust12,aspirations1,aspirations2,aspirations3,aspirations4,aspirations5,aspirations6,aspirations7,aspirations8,aspirations9,aspirations10,aspirations11,aspirations12,aspirations13,dap_price,can_price,lime_price,order1,order2,order3,submissiondate,starttime,endtime,purchase1_landmark_code,purchase2_landmark_code,purchase3_landmark_code,purchase4_landmark_code,purchase5_landmark_code,purchase6_landmark_code,purchase1_other_code,purchase2_other_code,purchase3_other_code,purchase4_other_code,purchase5_other_code,purchase6_other_code,purchase1_location_code,purchase2_location_code,purchase3_location_code,purchase4_location_code,purchase5_location_code,purchase6_location_code,purchase1_name_code,purchase2_name_code,purchase3_name_code,purchase4_name_code,purchase5_name_code,purchase6_name_code
uuid:9eef4ff6-cea1-40d3-8edd-ecf38e69bb7c,1862,99,1,Yes,2,636,,acres,.5,,,,,.5,1,2,4,4,4,4,4,No,,,,,,,,,,,,,,,,,,,,Farmer has no idea,,,,,,,,A lot less than others,Don't know,Lower,Don't know,-99,-99,Don't know,Don't know,Don't know,2,31,1,10,About same as others,Very often,A lot more than others,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,60,44,7,2500,2500,0,17mar2017 00:09:35,16mar2017 02:42:38,16mar2017 12:17:32,,,,,,,,,,,,,,,,,,,,,,,,
uuid:4d3ae4b4-206f-4203-9380-a48a64762a6e,1897,102,1,Yes,2,940,,acres,1,,,,,1,8,12,10,4,3,2,1,Yes,manure,,None,,,,10,wheelbarrow,,,,,8,12,8,4,3,2,3,Farmer has no idea,,,,,,,,The same as others,True,Lower,Not-acidic,-99,-99,When plant is knee high,Don't know,Don't know,2,31,8,6,About same as others,Rarely,A little less than others,2,3,No,Completely trust their product,3,No,Completely trust their product,,,,0,,,,,,,,,,,,,,,,,,,,,,,60,44,7,3000,2000,0,20mar2017 00:23:01,17mar2017 01:01:11,17mar2017 01:16:51,90,12,,,,,20,1,,,,,7,4,,,,,14,9,,,,
uuid:cf8411e9-f6f1-4c31-b1b3-fdcf51971f07,1910,102,1,Yes,2,641,,acres,1.5,,,,,1.5,2,4,4,4,3,3,6,No,,,,,,,,,,,,,,,,,,,,Farmer has no idea,,,,,,,,The same as others,False,Lower,Don't know,-99,-99,Don't know,Don't know,Don't know,2,2 5,6,10,About same as others,Very often,A lot more than others,1,8,No,Completely trust their product,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,60,44,7,2000,3000,0,20mar2017 00:23:06,17mar2017 02:42:13,17mar2017 02:52:55,94,,,,,,20,,,,,,7,,,,,,47,,,,,
uuid:3d70c2c0-38a4-4f8b-a031-dca387992c3b,2321,102,1,Yes,2,722,,acres,1,,,,,1,.5,6,4,3,3,3,7,No,,,,,,,,,,,,,,,,,,,,Farmer has no idea,,,,,,,,A lot more than others,True,Lower,Not-acidic,-99,-99,Don't know,Don't know,Don't know,2,2 5,10,6,Much higher than others,Never,The same as others,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,60,44,7,3000,2000,0,20mar2017 00:23:24,17mar2017 03:42:04,17mar2017 03:54:06,,,,,,,,,,,,,,,,,,,,,,,,
uuid:8b449990-e049-481c-992f-7cbfc2dd121a,1900,102,1,Yes,1,1704,,acres,.5,,,,,.5,2.5,8,2,3,6,6,3,Yes,manure,,None,,,,5,wheelbarrow,,,,,2.5,8,2,3,6,5,4,Farmer has no idea,,,,,,,,A little less than others,Don't know,The same,Don't know,-99,-99,When plant is knee high,Don't know,Don't know,31,2 5,5,8,About same as others,Sometimes,The same as others,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,60,44,7,2000,1500,1500,21mar2017 00:33:04,17mar2017 00:44:10,17mar2017 01:12:34,,,,,,,,,,,,,,,,,,,,,,,,
uuid:84f42b05-10a0-48ce-bfed-a77f7cf88394,1902,102,1,Yes,1,1690,,acres,.30000001,,,,,.3000000119209289551,.25,1.5,1,5,5,5,4,No,,,,,,,,,,,,,,,,,,,,Farmer has no idea,,,,,,,,The same as others,Don't know,Lower,Don't know,-99,-99,Don't know,Don't know,Don't know,31,2 5,5,5,About same as others,Sometimes,The same as others,1,3,No,Completely trust their product,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,60,44,7,2500,2500,0,21mar2017 00:33:06,17mar2017 01:39:20,17mar2017 02:07:29,63,,,,,,47,,,,,,8,,,,,,16,,,,,
uuid:feebcb69-9075-4ae6-afdf-7133469566e5,2322,102,1,Yes,1,502,media\Comments-feebcb69-9075-4ae6-afdf-7133469566e5.csv,acres,.75,,,,,.75,2,5,1,2,9,6,2,No,,,,,,,,,,,,,,,,,,,,Farmer has no idea,,,,,,,,A little less than others,Don't know,Lower,Don't know,-99,-99,Don't know,Don't know,Don't know,2,2 5,3,5,A little higher than others,Sometimes,The same as others,1,3,No,Trust the product a lot,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,60,44,7,1800,1700,1500,21mar2017 00:33:08,17mar2017 02:53:24,17mar2017 03:01:46,63,,,,,,40,,,,,,7,,,,,,1,,,,,
uuid:fdfce627-eb2f-4a7f-a11d-23056f79386d,1493,81,1,Yes,1,2055,media\Comments-fdfce627-eb2f-4a7f-a11d-23056f79386d.csv,acres,.125,,,,,.125,.5,1.5,0,0,0,20,0,No,,,,,,,,,,,,,,,,,,,,Farmer has no idea,,,,,,,,A lot less than others,Don't know,The same,Don't know,-99,-99,Don't know,Don't know,Don't know,2,31,2,10,About same as others,Sometimes,The same as others,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,85,60,7,2500,2500,0,21mar2017 00:33:09,20mar2017 00:48:05,20mar2017 01:22:20,,,,,,,,,,,,,,,,,,,,,,,,
uuid:45f02707-0a4b-4752-939b-ca74e5621cbf,1506,81,1,Yes,1,558,media\Comments-45f02707-0a4b-4752-939b-ca74e5621cbf.csv,acres,.125,,,,,.125,.5,1,0,1,3,13,3,No,,,,,,,,,,,,,,,,,,,,Farmer has no idea,,,,,,,,A little less than others,Don't know,Lower,Don't know,-99,-99,Don't know,Don't know,Don't know,2,31,5,8,About same as others,Sometimes,The same as others,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,85,60,7,2000,1500,1500,21mar2017 00:34:17,20mar2017 02:30:36,20mar2017 02:39:54,,,,,,,,,,,,,,,,,,,,,,,,
uuid:b4d3fbab-78a9-4e0c-8013-446c38586de2,1486,81,1,Yes,1,720,media\Comments-b4d3fbab-78a9-4e0c-8013-446c38586de2.csv,acres,.2,,,,,.2000000029802322388,1,2,3,3,4,5,5,Yes,NPK(23:23:0),,None,,,,25,kg,,,,,1,3,1,2,4,8,5,Farmer has no idea,,,,,,,,The same as others,False,Lower,Don't know,-99,-99,Don't know,Don't know,Don't know,2,2,5,5,A little less than others,Sometimes,The same as others,1,1.5,No,Completely trust their product,,,,,,,1,None,No,Completely trust their product,,,,,,,,,,,,,,,,,,,,85,60,7,2500,2500,0,21mar2017 00:34:19,20mar2017 03:58:31,20mar2017 04:10:31,63,,,61,,,26,,,33,,,25,,,21,,,1,,,75,,
